Study,Year,Nospecies,Phylum,Taxon,Species,SppType,Phylum2,Phylum3,Trophicfunction,TrophicLevel,Lifeform,Biofouler,Popualtions,Morph,NativeNone,Latitude,Longitude,AbsolutLat,Number Locations,Location,Ecosystem,Climate,SeasonExpBegan,Stress,StressDirection,StressMax,StressAnomaly,Ambient,"Type (constant, gradual change, ramping, flucuating) ",PreExpAdjustmentd,Intensitydegrees,IntensityTime,IntTime,IntensityDurationd,ExpExposureDurationd,LatentStressDuration,Exptime,Frequency,Type of ex,MeasurementType,metadata,Bioresponse,Actual Response,Effect direction,TreatmentMean,Treatment var,Control Mean,Control var,var,TreatStd,ControlStd,Data source,SamplesizeC,SamplesizeT
Ashton et al 2007,2007,1,Arthropoda,Crustacea,Caprella mutica,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,nns,56.458292,-5.43856,56.458292,1,UK,Esturine,Temperate,Summer,Temp,Increase,30,16,14,Constant,2,0,None,None,0,2,0,2,No,Lab,Pop,No,,,,,,,,,,,,,
Basso et al 2015,2015,1,Mollusca,Bivalvia,Pinna nobilis,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,39.901264,3.083843,39.901264,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,26,2,24,Constant,1,0,None,None,0,4,0.1875,4.1875,No,Lab,Ind,Yes,Respiration,Respiration,-1,0.0778,0.0133,0.1384,0.0371,(±SD),0.092145103,0.25703634,Fig. 1,48,48
Basso et al 2015,2015,1,Mollusca,Bivalvia,Pinna nobilis,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,39.901264,3.083843,39.901264,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,28,4,24,Constant,1,0,None,None,0,4,0.1875,4.1875,No,Lab,Ind,Yes,Respiration,Respiration,-1,0.0536,0.0206,0.1384,0.0371,(±SD),0.0206,0.0371,Fig. 1,48,48
Basso et al 2015,2015,1,Mollusca,Bivalvia,Pinna nobilis,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,39.901264,3.083843,39.901264,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,30,6,24,Constant,1,0,None,None,0,4,0.1875,4.1875,No,Lab,Ind,Yes,Respiration,Respiration,-1,0.0444,0.0066,0.1384,0.0371,(±SD),0.0066,0.0371,Fig. 1,48,48
Beaudry et al 2016,2016,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,47.39983,-61.866702,47.39983,1,Canada,Marine,Temperate,Winter,Temp,Increase,10,5,5,Ramping,14,1,Day,Day,7,7,0,14,No,Lab,Ind,No,,,,,,,,,,,,,
Beaudry et al 2016,2016,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,47.39983,-61.866702,47.39983,1,Canada,Marine,Temperate,Winter,Temp,Increase,10,5,5,Ramping,14,0,None,None,0,35,0,35,No,Lab,Ind,No,,,,,,,,,,,,,
Beaudry et al 2016,2016,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,47.39983,-61.866702,47.39983,1,Canada,Marine,Temperate,Winter,Temp,Increase,20,10,10,Ramping,14,2,Day,Day,5,42,0,47,No,Lab,Ind,No,,,,,,,,,,,,,
Beaudry et al 2016,2016,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,47.39983,-61.866702,47.39983,1,Canada,Marine,Temperate,Winter,Temp,Increase,20,10,10,Ramping,14,2,Day,Day,0,70,0,70,No,Lab,Ind,No,,,,,,,,,,,,,
Beca-Carretero et al 2018,2018,2,Alismatales,Alismatales,Cymodocea nodosa,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,2,Adult,native,42.105553,3.172178,42.105553,2,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,4,25,Constant,14,0.5,Day,Day,8,42,42,92,No,Lab,Ind,No,,,,,,,,,,,,,
Beca-Carretero et al 2018,2018,2,Alismatales,Alismatales,Cymodocea nodosa,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,2,Adult,native,37.856691,-0.747649,37.856691,2,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,4,25,Constant,14,0.5,Day,Day,8,42,42,92,No,Lab,Ind,No,,,,,,,,,,,,,
Beca-Carretero et al 2018,2018,2,Alismatales,Alismatales,Posidonia oceanica,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,2,Adult,native,42.105553,3.172178,42.105553,2,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,4,25,Constant,14,0.5,Day,Day,8,42,42,92,No,Lab,Ind,No,,,,,,,,,,,,,
Beca-Carretero et al 2018,2018,2,Alismatales,Alismatales,Posidonia oceanica,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,2,Adult,native,37.856691,-0.747649,37.856691,2,Spain,Marine,Mediterranean,Spring,Temp,Increase,29,4,25,Constant,14,0.5,Day,Day,8,42,42,92,No,Lab,Ind,No,,,,,,,,,,,,,
Bender et al 2014,2014,1,Heterokonta,Heterokonta,Chnoospora implexa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,2,Australia,Marine,Tropical,Winter,Temp,Increase,24.5,1.8,22.7,Flucuating,0,0.025,Hour,Hour,3,30,0,33,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,187.4952,12.5763,230.0233,15.8617,(±SE),21.78279057,27.47327029,Fig.3,3,3
Bender et al 2014,2014,1,Heterokonta,Heterokonta,Chnoospora implexa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,2,Australia,Marine,Tropical,Summer,Temp,Increase,27.4,1.8,25.6,Flucuating,0,0.025,Hour,Hour,3,30,0,33,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,238.4602,11.7987,247.3222,9.2078,(±SE),20.43594786,15.94837743,Fig.3,3,3
Bender et al 2014,2014,1,Heterokonta,Heterokonta,Chnoospora implexa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,2,Australia,Marine,Tropical,Winter,Temp,Increase,26.2,4,22.2,Flucuating,0,0.05,Hour,Hour,3,30,0,33,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,266.536,19.2862,230.0233,15.8617,(±SE),33.40467828,27.47327029,Fig.3,3,3
Bender et al 2014,2014,1,Heterokonta,Heterokonta,Chnoospora implexa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,2,Australia,Marine,Tropical,Summer,Temp,Increase,28.9,4,24.9,Flucuating,0,0.05,Hour,Hour,3,30,0,33,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,243.0952,5.8711,247.3222,9.2078,(±SE),10.1690435,15.94837743,Fig.3,3,3
Bender et al 2014,2014,1,Heterokonta,Heterokonta,Chnoospora implexa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,2,Australia,Marine,Tropical,Summer,Temp,Increase,27.4,1.8,25.6,Flucuating,0,0.025,Hour,Hour,3,30,0,33,No,Lab,Ind,Yes,Growth,Growth,1,34.7208,1.7191,44.129,13.4457,(±SE),2.977568543,23.28863554,Fig. 1,3,3
Bender et al 2014,2014,1,Heterokonta,Heterokonta,Chnoospora implexa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,2,Australia,Marine,Tropical,Winter,Temp,Increase,24.5,1.8,22.7,Flucuating,0,0.025,Hour,Hour,3,30,0,33,No,Lab,Ind,Yes,Growth,Growth,1,42.0348,5.192,44.3586,2.5968,(±SE),8.992807793,4.497789537,Fig. 1,3,3
Bender et al 2014,2014,1,Heterokonta,Heterokonta,Chnoospora implexa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,2,Australia,Marine,Tropical,Summer,Temp,Increase,28.9,4,24.9,Flucuating,0,0.05,Hour,Hour,3,30,0,33,No,Lab,Ind,Yes,Growth,Growth,1,38.9274,4.1268,44.129,13.4457,(±SE),7.147827273,23.28863554,Fig. 1,3,3
Bender et al 2014,2014,1,Heterokonta,Heterokonta,Chnoospora implexa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,2,Australia,Marine,Tropical,Winter,Temp,Increase,26.2,4,22.2,Flucuating,0,0.05,Hour,Hour,3,30,0,33,No,Lab,Ind,Yes,Growth,Growth,1,14.2108,5.4127,44.3586,2.5968,(±SE),9.375071406,4.497789537,Fig. 1,3,3
"Bender et al 2014, MEPS",2014,6,Chlorophyta,Chlorophyta,Cladophora feredayoides,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,1,Australia,Marine,Tropical,Spring,Temp,Increase,29.85,2.3,27.55,Flucuating,0,0,None,None,0,49,0,49,No,Lab,Pop,Yes,Growth,Abundance,1,4.6538,4.7444,-14.251,6.5285,(±SE),10.60880091,14.59816979,Fig.3,5,5
"Bender et al 2014, MEPS",2014,6,Heterokonta,Heterokonta,Sphacelaria rigidula,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,1,Australia,Marine,Tropical,Spring,Temp,Increase,29.85,2.3,27.55,Flucuating,0,0,None,None,0,49,0,49,No,Lab,Pop,Yes,Growth,Abundance,1,-11.3716,13.2392,15.0689,4.5064,(±SE),29.60375117,10.07661673,Fig.3,5,5
"Bender et al 2014, MEPS",2014,6,Rhodophyta,Rhodophyta,Rhodophyta,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-14.678475,145.448226,14.678475,1,Australia,Marine,Tropical,Spring,Temp,Increase,29.85,2.3,27.55,Flucuating,0,0,None,None,0,49,0,49,No,Lab,Pop,Yes,Growth,Abundance,1,13.9464,8.3519,12.616,10.7721,(±SE),18.67541614,24.08714786,Fig.3,5,5
Bennett et al 2015,2015,1,Heterokonta,Heterokonta,Scytothalia dorycarpa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,3,Juv,native,-30.29577,115.039169,30.29577,3,Australia,Marine,Mediterranean,Winter,Temp,Increase,24.4,0.93,23.47,Gradual,1,0,None,None,0,182.5,182.5,365,Yes,Field,Ind,Yes,Growth,Growth,1,22.1912,8.2293,19.551,6.9894,(±SE),18.40127421,15.62877352,Fig.3b,5,5
Bennett et al 2015,2015,1,Heterokonta,Heterokonta,Scytothalia dorycarpa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,3,Juv,native,-30.29577,115.039169,30.29577,3,Australia,Marine,Mediterranean,Winter,Temp,Increase,24.4,2.66,21.74,Gradual,1,0.136,Hour,Hour,0,182.5,182.5,365,Yes,Field,Ind,Yes,Growth,Growth,1,10.7002,8.0752,7.8692,5.2796,(±SE),18.05669613,11.80554449,Fig.3b,5,5
Bennett et al 2015,2015,1,Heterokonta,Heterokonta,Scytothalia dorycarpa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,3,Juv,native,-31.841966,115.75018,31.841966,3,Australia,Marine,Tropical,Winter,Temp,Increase,24.41,2.67,21.74,Gradual,1,0.134,Hour,Hour,0,182.5,182.5,365,Yes,Field,Ind,Yes,Growth,Growth,1,-4.829,6.3651,7.8692,5.2796,(±SE),14.23279628,11.80554449,Fig.3b,5,5
Bennett et al 2015,2015,1,Heterokonta,Heterokonta,Scytothalia dorycarpa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,3,Juv,native,-30.29577,115.039169,30.29577,3,Australia,Marine,Mediterranean,Winter,Temp,Increase,24.4,0.93,23.47,Gradual,0,0,None,None,0,182.5,182.5,365,Yes,Field,Ind,Yes,Overall Health,Overall Health,1,86.7638,5.9921,96.8881,2.686,(±SE),13.39874293,6.006078588,Fig.3f,5,5
Bennett et al 2015,2015,1,Heterokonta,Heterokonta,Scytothalia dorycarpa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,3,Juv,native,-30.29577,115.039169,30.29577,3,Australia,Marine,Mediterranean,Winter,Temp,Increase,24.4,2.66,21.74,Gradual,1,0.136,Hour,Hour,0,182.5,182.5,365,Yes,Field,Ind,Yes,Overall Health,Overall Health,1,49.3735,8.2648,69.0404,10.1254,(±SE),18.48065462,22.6410827,Fig.3f,5,5
Bennett et al 2015,2015,1,Heterokonta,Heterokonta,Scytothalia dorycarpa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,3,Juv,native,-31.841966,115.75018,31.841966,3,Australia,Marine,Tropical,Winter,Temp,Increase,24.41,2.67,21.74,Gradual,1,0.134,Hour,Hour,0,182.5,182.5,365,Yes,Field,Ind,Yes,Overall Health,Overall Health,1,19.828,12.3984,69.0404,10.1254,(±SE),27.72366521,22.6410827,Fig.3f,5,5
Bennett et al 2015,2015,1,Heterokonta,Heterokonta,Scytothalia dorycarpa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,3,Juv,native,-30.29577,115.039169,30.29577,3,Australia,Marine,Mediterranean,Winter,Temp,Increase,24.4,0.93,23.47,Gradual,1,0,None,None,0,182.5,182.5,365,Yes,Field,Ind,Yes,Reproduction,Reproduction,1,79.561,7.9598,100.38,2.2512,(±SE),17.79865389,5.033836231,Fig.3d,5,5
Bennett et al 2015,2015,1,Heterokonta,Heterokonta,Scytothalia dorycarpa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,3,Juv,native,-30.29577,115.039169,30.29577,3,Australia,Marine,Mediterranean,Winter,Temp,Increase,24.4,2.66,21.74,Gradual,1,0.136,Hour,Hour,0,182.5,182.5,365,Yes,Field,Ind,Yes,Reproduction,Reproduction,1,9.9924,6.1096,33.583,13.8499,(±SE),13.66148092,30.96931788,Fig.3d,5,5
Bennett et al 2015,2015,1,Heterokonta,Heterokonta,Scytothalia dorycarpa,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,3,Juv,native,-31.841966,115.75018,31.841966,3,Australia,Marine,Tropical,Winter,Temp,Increase,24.41,2.67,21.74,Gradual,1,0.134,Hour,Hour,0,182.5,182.5,365,Yes,Field,Ind,Yes,Reproduction,Reproduction,1,25.0609,15.8855,33.583,13.8499,(±SE),35.52105786,30.96931788,Fig.3d,5,5
Bennett et al 2017,2017,4,Porifera,Porifera,Cymbastela coralliophila,Sponge,Porifera,Porifera,Symbiotic autotroph,Autotroph,Animal,No,1,Adult,native,-18.822898,147.64803,18.822898,1,Australia,Marine,Tropical,Summer,Temp,Increase,31.5,4.5,27,Constant,28,0.5,Day,Day,9,84,0,93,No,Lab,Ind,No,,,,,,,,,,,,,
Bennett et al 2017,2017,4,Porifera,Porifera,Rhopaloeides odorabile,Sponge,Porifera,Porifera,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,-18.822898,147.64803,18.822898,1,Australia,Marine,Tropical,Summer,Temp,Increase,28.5,1.5,27,Constant,28,0.5,Day,Day,3,84,0,87,No,Lab,Ind,No,,,,,,,,,,,,,
Bennett et al 2017,2017,4,Porifera,Porifera,Stylissa flabelliformis,Sponge,Porifera,Porifera,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,-18.822898,147.64803,18.822898,1,Australia,Marine,Tropical,Summer,Temp,Increase,30,3,27,Constant,28,0.5,Day,Day,6,84,0,90,No,Lab,Ind,No,,,,,,,,,,,,,
Bennett et al 2018,2018,4,Porifera,Porifera,Carteriospongia foliascens,Sponge,Porifera,Porifera,Symbiotic autotroph,Autotroph,Animal,No,1,Adult,native,-18.822898,147.64803,18.822898,1,Australia,Marine,Tropical,Summer,Temp,Increase,28.5,1.5,27,Constant,28,0.5,Day,Day,3,84,0,87,No,Lab,Ind,No,,,,,,,,,,,,,
Bennett et al 2018,2018,4,Porifera,Porifera,Carteriospongia foliascens,Sponge,Porifera,Porifera,Symbiotic autotroph,Autotroph,Animal,No,1,Adult,native,-18.822898,147.64803,18.822898,1,Australia,Marine,Tropical,Summer,Temp,Increase,30,3,27,Constant,28,0.5,Day,Day,6,84,0,90,No,Lab,Ind,No,,,,,,,,,,,,,
Bennett et al 2018,2018,4,Porifera,Porifera,Carteriospongia foliascens,Sponge,Porifera,Porifera,Symbiotic autotroph,Autotroph,Animal,No,1,Adult,native,-18.822898,147.64803,18.822898,1,Australia,Marine,Tropical,Summer,Temp,Increase,31.5,4.5,27,Constant,28,0.5,Day,Day,9,84,0,93,No,Lab,Ind,No,,,,,,,,,,,,,
Bergmann et al 2010,2010,1,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,3,Adult,native,56.716398,8.471352,56.716398,3,Denmark,Marine,Temperate,Summer,Temp,Increase,26,7,19,Constant,21,1.5,Day,Day,4.7,21,28,53.7,No,Lab,Ind,Yes,Overall Health,Overall Health,1,5.0767,0.6739,8.138,1.2844,(±SE),1.650711138,3.146124626,Fig. 1b,6,6
Bergmann et al 2010,2010,1,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,3,Adult,native,56.19012,10.659601,56.19012,3,Denmark,Marine,Temperate,Summer,Temp,Increase,26,7,19,Constant,21,1.5,Day,Day,4.7,21,28,53.7,No,Lab,Ind,Yes,Overall Health,Overall Health,1,9.036,0.787,10.3564,0.8099,(±SE),1.927748428,1.983841743,Fig. 1c,6,6
Bergmann et al 2010,2010,1,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,3,Adult,native,43.968369,12.760798,43.968369,3,Italy,Marine,Mediterranean,Summer,Temp,Increase,26,7,19,Constant,21,1.5,Day,Day,4.7,21,28,53.7,No,Lab,Ind,Yes,Overall Health,Overall Health,1,11.3277,0.4837,15.1532,1.0617,(±SE),1.184818189,2.60062326,Fig. 1d,6,6
Bergstrom et al 2019,2019,2,Chlorophyta,Chlorophyta,Halimeda cuneata,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,-16.474979,-39.062598,16.474979,1,Brazil,Marine,Tropical,Summer,Temp,Increase,30,2,28,Constant,15,2,Day,Day,1,10,0,11,No,Lab,Int,No,,,,,,,,,,,,,
Bertrand et al 2017,2017,2,Mollusca,Bivalvia,Corbicula fluminea,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Adult,nns,49.200992,6.200793,49.200992,2,France,Esturine,Mediterranean,Summer,Sal,Increase,5,3.5,1.5,Constant,11,0,None,None,0,7,0.291667,7.291667,No,Lab,Ind,No,,,,,,,,,,,,,
Bertrand et al 2017,2017,2,Mollusca,Bivalvia,Corbicula fluminea,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Adult,nns,49.200992,6.200793,49.200992,2,France,Esturine,Mediterranean,Summer,Sal,Increase,10,8.5,1.5,Constant,11,0,None,None,0,7,0.291667,7.291667,No,Lab,Ind,No,,,,,,,,,,,,,
Bertrand et al 2017,2017,2,Mollusca,Bivalvia,Corbicula fluminea,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Adult,nns,49.200992,6.200793,49.200992,2,France,Esturine,Temperate,Summer,Sal,Increase,15,13.5,1.5,Constant,11,0,None,None,0,7,0.291667,7.291667,No,Lab,Ind,No,,,,,,,,,,,,,
Bertrand et al 2017,2017,2,Mollusca,Bivalvia,Scrobicularia plana,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,47.034772,-2.100812,47.034772,2,France,Marine,Mediterranean,Summer,Sal,Decrease,20,10,30,Constant,11,0,None,None,0,7,0.291667,7.291667,No,Lab,Ind,No,,,,,,,,,,,,,
Bertrand et al 2017,2017,2,Mollusca,Bivalvia,Scrobicularia plana,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,47.034772,-2.100812,47.034772,2,France,Marine,Temperate,Summer,Sal,Decrease,15,15,30,Constant,11,0,None,None,0,7,0.291667,7.291667,No,Lab,Ind,No,,,,,,,,,,,,,
Best et al 2015,2015,6,Arthropoda,Arthropoda,Allorchestes angusta,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,0,0,None,None,0,56,0,56,No,Lab,Pop,No,Abundance,Abundance,1,,,,,(±95%CI),,,Fig. 3,6,6
Best et al 2015,2015,6,Arthropoda,Arthropoda,Ampithoe dalli ,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,0,0,None,None,0,56,0,56,No,Lab,Pop,No,Abundance,Abundance,1,,,,,(±95%CI),,,Fig. 3,6,6
Best et al 2015,2015,6,Arthropoda,Arthropoda,Ampithoe lacertosa,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,0,0,None,None,0,56,0,56,No,Lab,Pop,No,Abundance,Abundance,1,,,,,(±95%CI),,,Fig. 3,6,6
Best et al 2015,2015,6,Arthropoda,Arthropoda,Ampithoe sectimanus,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,0,0,None,None,0,56,0,56,No,Lab,Pop,No,Abundance,Abundance,1,,,,,(±95%CI),,,Fig. 3,6,6
Best et al 2015,2015,6,Arthropoda,Arthropoda,Parallorchestes cowani,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,38.318817,-123.071849,38.318817,1,USA,Marine,Mediterranean,Summer,Temp,Increase,18,2,16,Flucuating,0,0,None,None,0,56,0,56,No,Lab,Pop,No,Abundance,Abundance,1,,,,,(±95%CI),,,Fig. 3,3,3
